flight_legs,itinerary,origin_airport,destination_airport,start_time,end_time,fdt_duration,sectors,ground_transit_mins,duty_cost
"[3504618836, 3504619445, 3504619329]",CGN ➔ ATH ➔ DUS ➔ GWT,CGN,GWT,300.0,1000.0,670.0,3,0.0,717.5
"[3504618836, 3504619445]",CGN ➔ ATH ➔ DUS,CGN,DUS,300.0,870.0,540.0,2,0.0,620.0
"[3504619446, 3504619447, 3504619360]",DUS ➔ KVA ➔ DUS ➔ NCE,DUS,NCE,300.0,955.0,625.0,3,0.0,697.5
"[3504619446, 3504619447, 3504619356]",DUS ➔ KVA ➔ DUS ➔ DUB,DUS,DUB,300.0,960.0,630.0,3,0.0,700.0
"[3504619446, 3504619447, 3504619329]",DUS ➔ KVA ➔ DUS ➔ GWT,DUS,GWT,300.0,1000.0,670.0,3,0.0,697.5
"[3504619446, 3504619447]",DUS ➔ KVA ➔ DUS,DUS,DUS,300.0,775.0,445.0,2,0.0,402.5
"[3504619446, 3504618983, 3504618941]",DUS ➔ KVA ➔ STR ➔ NCE,DUS,NCE,300.0,955.0,625.0,3,0.0,672.5
"[3504619221, 3504619222, 3504619278]",HAM ➔ IBZ ➔ HAM ➔ VIE,HAM,VIE,300.0,945.0,615.0,3,0.0,690.0
"[3504619221, 3504619222, 3504619332]",HAM ➔ IBZ ➔ HAM ➔ DUS,HAM,DUS,300.0,945.0,615.0,3,0.0,672.5
"[3504619221, 3504619222]",HAM ➔ IBZ ➔ HAM,HAM,HAM,300.0,800.0,470.0,2,0.0,422.5
[3504619489],DUS ➔ TIA,DUS,TIA,305.0,545.0,210.0,1,0.0,340.0
"[3504618936, 3504618799]",STR ➔ LPA ➔ CGN,STR,CGN,305.0,985.0,650.0,2,0.0,757.5
"[3504618936, 3504619391]",STR ➔ LPA ➔ DUS,STR,DUS,305.0,1030.0,695.0,2,0.0,780.0
"[3504618936, 3504619145]",STR ➔ LPA ➔ HAM,STR,HAM,305.0,1050.0,715.0,2,0.0,800.0
"[3504619247, 3504619407, 3504619360]",HAM ➔ PMI ➔ DUS ➔ NCE,HAM,NCE,305.0,955.0,620.0,3,0.0,680.0
"[3504619247, 3504619407, 3504619356]",HAM ➔ PMI ➔ DUS ➔ DUB,HAM,DUB,305.0,960.0,625.0,3,0.0,682.5
"[3504619247, 3504619407, 3504619329]",HAM ➔ PMI ➔ DUS ➔ GWT,HAM,GWT,305.0,1000.0,665.0,3,0.0,680.0
"[3504619247, 3504619407]",HAM ➔ PMI ➔ DUS,HAM,DUS,305.0,755.0,420.0,2,0.0,525.0
"[3504619247, 3504619248, 3504619278]",HAM ➔ PMI ➔ HAM ➔ VIE,HAM,VIE,305.0,945.0,610.0,3,0.0,675.0
"[3504619247, 3504619248, 3504619332]",HAM ➔ PMI ➔ HAM ➔ DUS,HAM,DUS,305.0,945.0,610.0,3,0.0,657.5
"[3504619247, 3504619248]",HAM ➔ PMI ➔ HAM,HAM,HAM,305.0,775.0,440.0,2,0.0,395.0
"[3504619247, 3504619409, 3504619360]",HAM ➔ PMI ➔ DUS ➔ NCE,HAM,NCE,305.0,955.0,620.0,3,0.0,680.0
"[3504619247, 3504619409, 3504619356]",HAM ➔ PMI ➔ DUS ➔ DUB,HAM,DUB,305.0,960.0,625.0,3,0.0,682.5
"[3504619247, 3504619409, 3504619329]",HAM ➔ PMI ➔ DUS ➔ GWT,HAM,GWT,305.0,1000.0,665.0,3,0.0,680.0
"[3504619247, 3504619409]",HAM ➔ PMI ➔ DUS,HAM,DUS,305.0,770.0,435.0,2,0.0,532.5
"[3504619247, 3504619020, 3504619329]",HAM ➔ PMI ➔ DTM ➔ (DTM🚌DUS) ➔ GWT,HAM,GWT,305.0,1000.0,665.0,3,80.4,772.7
"[3504619247, 3504619321, 3504619334]",HAM ➔ PMI ➔ BER ➔ DUS,HAM,DUS,305.0,1000.0,665.0,3,0.0,690.0
"[3504619247, 3504619257]",HAM ➔ PMI ➔ HAM,HAM,HAM,305.0,920.0,585.0,2,0.0,467.5
"[3504618972, 3504618973, 3504618941]",STR ➔ LIS ➔ STR ➔ NCE,STR,NCE,310.0,955.0,615.0,3,0.0,692.5
"[3504619183, 3504619245, 3504619278]",NUE ➔ PMI ➔ HAM ➔ VIE,NUE,VIE,310.0,945.0,605.0,3,0.0,657.5
