pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_244,[3504638174],270.0,['BER ➔ STR']
duty_seed_246,[3504638678],270.0,['MUC ➔ DUS']
duty_seed_248,[3504657654],270.0,['STR ➔ HAM']
duty_seed_249,[3504657921],270.0,['STR ➔ HAM']
duty_seed_250,[3504658118],270.0,['DRS ➔ DUS']
duty_seed_251,[3504657813],270.0,['SZG ➔ DUS']
duty_seed_257,[3504658127],270.0,['DUS ➔ BER']
duty_seed_263,[3504657589],270.0,['MUC ➔ CGN']
duty_seed_265,[3504676337],270.0,['STR ➔ HAM']
duty_seed_266,[3504676531],270.0,['SZG ➔ DUS']
duty_seed_267,[3504676193],270.0,['MUC ➔ CGN']
duty_seed_270,[3504676819],270.0,['MUC ➔ DUS']
duty_seed_273,[3504676190],270.0,['CGN ➔ BER']
duty_seed_276,[3504676195],270.0,['MUC ➔ CGN']
duty_seed_278,[3504676806],270.0,['DRS ➔ DUS']
duty_seed_279,[3505309346],270.0,['STR ➔ VCE']
duty_seed_280,[3505309334],270.0,['STR ➔ HAM']
duty_seed_281,[3505309439],270.0,['SZG ➔ DUS']
duty_seed_282,[3505309609],270.0,['MUC ➔ DUS']
duty_seed_286,[3505309603],270.0,['DRS ➔ DUS']
duty_seed_289,[3505310316],270.0,['MUC ➔ DUS']
duty_seed_291,[3505310312],270.0,['DRS ➔ DUS']
duty_seed_296,[3505310210],270.0,['NUE ➔ HAM']
duty_seed_297,[3505310136],270.0,['SZG ➔ DUS']
duty_seed_298,[3505311172],270.0,['DUS ➔ ZRH']
duty_seed_301,[3505310813],270.0,['VCE ➔ STR']
duty_seed_302,[3505310209],270.0,['HAM ➔ NUE (Layover Line)']
duty_seed_303,"[3504619333, 3504619336]",272.5,['DUS ➔ BER ➔ DUS']
duty_seed_304,"[3504619354, 3504619355]",272.5,['DUS ➔ EDI ➔ DUS']
duty_seed_305,"[3504618899, 3504618901]",272.5,['CGN ➔ ZAG ➔ CGN']
duty_seed_307,"[3504638292, 3504638295]",272.5,['STR ➔ FCO ➔ STR']
duty_seed_308,"[3504657646, 3504657647]",272.5,['CGN ➔ PSA ➔ CGN']
duty_seed_309,"[3504676453, 3504676454]",272.5,['STR ➔ FCO ➔ STR']
duty_seed_311,"[3505310426, 3505310430]",272.5,['DUS ➔ PRG ➔ DUS']
duty_seed_312,[3504619457],275.0,['ZRH ➔ DUS']
duty_seed_313,[3504619460],275.0,['DUS ➔ PRG']
duty_seed_316,[3504619459],275.0,['ZRH ➔ DUS']
duty_seed_317,[3504619351],275.0,['BHX ➔ DUS']
duty_seed_318,[3504619461],275.0,['PRG ➔ DUS']
duty_seed_320,[3504619078],275.0,['SZG ➔ HAM']
duty_seed_321,[3504638809],275.0,['PRG ➔ DUS']
duty_seed_322,[3504638695],275.0,['BHX ➔ DUS']
duty_seed_324,[3504638808],275.0,['DUS ➔ PRG']
duty_seed_327,[3504638806],275.0,['DUS ➔ PRG']
duty_seed_329,[3504638807],275.0,['PRG ➔ DUS']
duty_seed_330,[3504638350],275.0,['DUS ➔ SZG']
duty_seed_332,[3504638697],275.0,['BHX ➔ DUS']
duty_seed_333,[3504658250],275.0,['PRG ➔ DUS']
duty_seed_334,[3504657814],275.0,['DUS ➔ SZG']
duty_seed_335,[3504658248],275.0,['DUS ➔ PRG']
duty_seed_336,[3504658148],275.0,['BHX ➔ DUS']
duty_seed_338,[3504658246],275.0,['ZRH ➔ DUS']
duty_seed_340,[3504657807],275.0,['PRG ➔ DUS']
duty_seed_341,[3504658231],275.0,['DUS ➔ SZG']
duty_seed_342,[3504657808],275.0,['DUS ➔ PRG']
duty_seed_345,[3504657983],275.0,['SZG ➔ HAM']
duty_seed_347,[3504658152],275.0,['BHX ➔ DUS']
duty_seed_348,[3504676945],275.0,['PRG ➔ DUS']
duty_seed_349,[3504676532],275.0,['DUS ➔ SZG']
duty_seed_350,[3504676530],275.0,['DUS ➔ PRG']
duty_seed_351,[3504676833],275.0,['BHX ➔ DUS']
duty_seed_353,[3504676940],275.0,['ZRH ➔ DUS']
